Event,Site,Date,White,Black,Result,WhiteElo,BlackElo,ECO,Opening,Termination
Casual blitz game,https://lichess.org/AiMvgaba,2024.10.21,maia5,peterchero,0-1,1493,1351,C42,,Normal
Rated blitz game,https://lichess.org/nJEgjrDY,2024.10.15,Fabio_GCosta,peterchero,1-0,1492,1417,D06,,Normal
Casual rapid game,https://lichess.org/8Bx1dXUb,2024.02.23,emadnos7i,peterchero,1/2-1/2,1500,1504,B23,,Normal
Casual rapid game,https://lichess.org/b0h88mJm,2024.02.19,stormy_Knight1,peterchero,0-1,1483,1504,A00,,Time forfeit
Casual rapid game,https://lichess.org/WtCzdRxS,2024.02.19,Kir_first,peterchero,0-1,1500,1504,A45,,Normal
Casual blitz game,https://lichess.org/LzJrkSzG,2024.02.15,cambavision,peterchero,1-0,1702,1415,C44,,Time forfeit
Rated bullet game,https://lichess.org/4WaD2asN,2024.02.08,miflo1992,peterchero,1-0,1362,1406,C40,,Time forfeit
Rated blitz game,https://lichess.org/Yq90V3FL,2024.02.08,Teodora99,peterchero,1-0,1422,1421,A00,,Normal
Rated blitz game,https://lichess.org/aw0G86Y4,2024.02.07,bruxo171,peterchero,0-1,1507,1428,C25,,Normal
Rated blitz game,https://lichess.org/xE3ucwQH,2024.02.07,Wolfetajmbs,peterchero,1-0,1412,1435,D01,,Normal
Rated blitz game,https://lichess.org/x4p1rnzC,2024.02.07,DLJ0014,peterchero,0-1,1420,1423,A45,,Normal
Rated blitz game,https://lichess.org/pywPwUL7,2024.02.07,Chessplayer33212,peterchero,0-1,1381,1421,D00,,Normal
Rated blitz game,https://lichess.org/CDIOUtmG,2024.10.15,Takeda91,peterchero,1-0,1430,1415,C25,,Normal
Rated bullet game,https://lichess.org/wtpnnK2T,2024.02.07,sayansamrat,peterchero,0-1,1406,1406,B06,,Time forfeit
Rated bullet game,https://lichess.org/DjaciriL,2024.02.07,MarcoosMan,peterchero,1-0,1426,1405,C50,,Normal
Rated blitz game,https://lichess.org/XN1NRHGg,2024.02.07,Dacruca,peterchero,0-1,1405,1404,A00,,Normal
Casual bullet game,https://lichess.org/o2OLt8Gh,2024.02.07,manuelpepe,peterchero,1-0,1453,1405,D00,,Normal
Casual bullet game,https://lichess.org/UrLB7YW3,2024.02.07,MNXANL,peterchero,0-1,1372,1405,C00,,Normal
Casual rapid game,https://lichess.org/RytxDTCT,2024.02.06,migalych,peterchero,0-1,1573,1504,C60,,Time forfeit
Casual bullet game,https://lichess.org/UJAf5JdO,2024.02.06,Adirom,peterchero,0-1,1475,1405,C20,,Time forfeit
Casual bullet game,https://lichess.org/G6ZnubOp,2024.02.06,Karli28,peterchero,0-1,1407,1405,C40,,Time forfeit
Casual blitz game,https://lichess.org/7KC3PoFr,2024.02.06,treakyy1,peterchero,0-1,1452,1404,C44,,Time forfeit
Casual blitz game,https://lichess.org/EOtCkRjn,2024.02.06,treakyy1,peterchero,1-0,1452,1404,C45,,Normal
Casual rapid game,https://lichess.org/CIqNu0tn,2024.10.07,motaz24,peterchero,1-0,1485,1507,C61,,Normal
Rated bullet game,https://lichess.org/G6XyE46v,2024.02.06,juketay,peterchero,0-1,1411,1392,D00,,Time forfeit
Rated bullet game,https://lichess.org/tytPyvxG,2024.02.05,JiMiASjUnIoR,peterchero,1-0,1403,1392,C24,,Time forfeit
Rated bullet game,https://lichess.org/QWxYwrew,2024.02.05,MTRTCT,peterchero,1-0,1361,1391,D00,,Normal
Rated blitz game,https://lichess.org/VLyAEWx3,2024.02.05,Viktor_winner_one,peterchero,0-1,1317,1398,C24,,Normal
Rated blitz game,https://lichess.org/QOmMXO6r,2024.02.04,hsisj,peterchero,1/2-1/2,1397,1389,D00,,Time forfeit
Rated blitz game,https://lichess.org/qV6CeDd6,2024.02.04,AndriyDizak,peterchero,0-1,1366,1381,C46,,Normal
Rated blitz game,https://lichess.org/VJJ0roAp,2024.02.03,forthepeople,peterchero,0-1,1377,1372,C40,,Normal
Rated bullet game,https://lichess.org/RwbScC5k,2024.02.02,volkii,peterchero,0-1,1365,1374,C25,,Time forfeit
Rated bullet game,https://lichess.org/w4x9444W,2024.02.02,Empatiem,peterchero,1-0,1406,1379,C20,,Normal
Rated blitz game,https://lichess.org/WcsKj63Y,2024.02.02,cngzhn65,peterchero,0-1,1356,1352,C26,,Normal
Casual rapid game,https://lichess.org/TsnpGVsX,2024.10.06,Tio_Ettore,peterchero,0-1,1500,1507,C50,,Normal
Rated blitz game,https://lichess.org/rDCSADqg,2024.02.02,arbat35,peterchero,1-0,1314,1354,C41,,Normal
Rated blitz game,https://lichess.org/qRkSZs0u,2024.02.02,King_Niki,peterchero,0-1,1369,1362,C42,,Time forfeit
Rated blitz game,https://lichess.org/l3xOpQTm,2024.02.02,ahmaddarzi,peterchero,0-1,1346,1337,C20,,Time forfeit
Rated blitz game,https://lichess.org/lhxHtfF1,2024.02.02,rocko13,peterchero,0-1,1329,1325,C34,,Normal
Rated bullet game,https://lichess.org/9CicgWP0,2024.02.01,BobanPecic,peterchero,0-1,1361,1368,C24,,Time forfeit
Rated bullet game,https://lichess.org/a5SlEi15,2024.02.01,VL90,peterchero,1-0,1418,1373,C34,,Normal
Rated blitz game,https://lichess.org/0ZhUzSQj,2024.01.31,meganagibator_3000,peterchero,0-1,1407,1309,C42,,Normal
Rated bullet game,https://lichess.org/8D0eXgTu,2024.01.31,StephenHanley,peterchero,0-1,1345,1358,D02,,Time forfeit
